                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.94012,                 1.5822,                0.97955,                0.98807,                0.99252,                0.99063,                0.74751,                0.87775,                0.77433,                0.94861,                0.00332,                0.00332,                0.00332
                      1,                0.89782,                0.71137,                0.95082,                 0.9913,                0.99666,                0.99093,                  0.743,                0.89887,                0.51671,                  0.972,              0.0066314,              0.0066314,              0.0066314
                      2,                0.91834,                   0.56,                 0.9709,                0.98512,                0.98371,                0.99191,                0.74304,                0.93239,                0.49597,                0.99462,              0.0099208,              0.0099208,              0.0099208
                      3,                0.89147,                0.49647,                0.97357,                0.96301,                0.97438,                0.98911,                0.71312,                0.97528,                0.70551,                 1.0068,               0.009901,               0.009901,               0.009901
                      4,                0.84838,                0.45304,                0.96189,                0.99126,                0.98086,                0.99353,                0.77039,                0.87067,                0.45732,                0.96478,               0.009901,               0.009901,               0.009901
                      5,                0.82072,                0.42897,                  0.958,                0.99331,                0.99636,                 0.9935,                 0.7909,                0.81226,                 0.3763,                0.97357,               0.009868,               0.009868,               0.009868
                      6,                0.80357,                0.41076,                0.95668,                0.99305,                 0.9947,                0.99343,                0.78832,                0.81504,                0.37568,                0.96768,               0.009835,               0.009835,               0.009835
                      7,                0.79136,                0.39963,                0.95306,                 0.9898,                0.99585,                0.99248,                0.76685,                0.85154,                0.38273,                0.98236,               0.009802,               0.009802,               0.009802
                      8,                0.77852,                0.38845,                0.95067,                0.99141,                0.99662,                0.99336,                0.78459,                0.77141,                0.35349,                0.94543,               0.009769,               0.009769,               0.009769
                      9,                0.77481,                0.38332,                0.95143,                0.99557,                0.99707,                 0.9938,                0.80754,                0.77646,                0.34315,                0.94543,               0.009736,               0.009736,               0.009736
                     10,                0.76545,                0.37357,                0.94918,                0.99564,                0.99745,                 0.9937,                0.80287,                 0.7882,                0.35134,                0.94967,               0.009703,               0.009703,               0.009703
                     11,                0.76189,                0.36802,                0.94588,                 0.9949,                0.99788,                0.99361,                0.80514,                0.75968,                0.32358,                0.94392,                0.00967,                0.00967,                0.00967
                     12,                0.75297,                0.36202,                0.94459,                0.99472,                0.99765,                0.99406,                0.81818,                  0.736,                0.31966,                0.94772,               0.009637,               0.009637,               0.009637
                     13,                0.74802,                0.35845,                0.94816,                0.99801,                0.99798,                0.99421,                0.82694,                0.73224,                0.31032,                0.94792,               0.009604,               0.009604,               0.009604
                     14,                0.74527,                0.35549,                0.94496,                0.99723,                0.99728,                0.99401,                0.82496,                0.73748,                0.30513,                0.95154,               0.009571,               0.009571,               0.009571
                     15,                0.73507,                 0.3519,                0.94223,                0.99711,                0.99748,                0.99391,                0.83329,                  0.731,                0.30919,                0.94846,               0.009538,               0.009538,               0.009538
                     16,                0.73602,                0.34965,                0.94333,                0.99666,                0.99728,                 0.9931,                0.82373,                0.72703,                0.31457,                0.97637,               0.009505,               0.009505,               0.009505
                     17,                0.72857,                0.34815,                0.94775,                0.99518,                0.99762,                0.99325,                0.82654,                0.72916,                0.31176,                0.97714,               0.009472,               0.009472,               0.009472
                     18,                 0.7253,                 0.3428,                0.94485,                0.99701,                0.99735,                0.99369,                 0.8376,                0.71294,                0.29782,                0.95142,               0.009439,               0.009439,               0.009439
                     19,                0.72403,                0.34067,                0.94092,                0.99705,                0.99735,                0.99385,                0.83322,                0.73079,                0.29721,                0.96842,               0.009406,               0.009406,               0.009406
                     20,                0.71888,                0.33777,                0.94802,                0.99629,                0.99808,                0.99368,                0.83775,                0.70088,                0.28778,                0.96637,               0.009373,               0.009373,               0.009373
                     21,                0.72191,                 0.3381,                0.94406,                0.99799,                0.99821,                0.99379,                0.83971,                0.70898,                0.28121,                0.94532,                0.00934,                0.00934,                0.00934
                     22,                0.72071,                0.33712,                0.93925,                0.99724,                0.99821,                0.99362,                0.84261,                0.69494,                0.28005,                0.93254,               0.009307,               0.009307,               0.009307
                     23,                0.71758,                0.33569,                   0.94,                0.99696,                0.99788,                 0.9938,                0.84387,                0.69625,                0.27744,                0.94178,               0.009274,               0.009274,               0.009274
                     24,                 0.7113,                0.33026,                0.93615,                0.99599,                0.99841,                0.99357,                0.84796,                0.68674,                0.27829,                0.93703,               0.009241,               0.009241,               0.009241
                     25,                0.71487,                0.33028,                0.94244,                0.99775,                0.99819,                0.99388,                0.85074,                0.68172,                0.27384,                0.93664,               0.009208,               0.009208,               0.009208
                     26,                0.71236,                0.33104,                0.93817,                0.99789,                0.99795,                0.99382,                0.85115,                0.68391,                0.27198,                0.93191,               0.009175,               0.009175,               0.009175
                     27,                 0.7099,                0.32935,                0.93787,                0.99774,                0.99848,                0.99388,                0.84299,                0.70038,                0.27111,                0.94786,               0.009142,               0.009142,               0.009142
                     28,                0.70496,                0.32689,                 0.9372,                0.99801,                0.99839,                0.99404,                0.85523,                0.67201,                0.26755,                0.95183,               0.009109,               0.009109,               0.009109
                     29,                0.70714,                0.32607,                 0.9423,                0.99808,                0.99841,                0.99384,                0.85386,                0.67515,                0.26451,                0.94682,               0.009076,               0.009076,               0.009076
                     30,                0.70845,                0.32772,                0.94259,                0.99753,                0.99834,                0.99383,                0.84984,                 0.6844,                0.26462,                0.95069,               0.009043,               0.009043,               0.009043
                     31,                0.70479,                0.32289,                0.94442,                0.99785,                0.99828,                0.99398,                0.85152,                0.68758,                0.26275,                0.95568,                0.00901,                0.00901,                0.00901
